ID,A.plus.pre.BB,A.minus.pre.BB,B.plus.pre.BB,B.minus.pre.BB,A.plus.mid.BB,A.minus.mid.BB,B.plus.mid.BB,B.minus.mid.BB,A.plus.mid.BB,A.minus.mid.BB,B.plus.mid.BB,B.minus.mid.BB,A.plus.pre.IS,A.minus.pre.IS,B.plus.pre.IS,B.minus.pre.IS,A.plus.mid.IS,A.minus.mid.IS,B.plus.mid.IS,B.minus.mid.IS,A.plus.mid.IS,A.minus.mid.IS,B.plus.mid.IS,B.minus.mid.IS,A.plus.pre.OC,A.minus.pre.OC,B.plus.pre.OC,B.minus.pre.OC,A.plus.mid.OC,A.minus.mid.OC,B.plus.mid.OC,B.minus.mid.OC,A.plus.mid.OC,A.minus.mid.OC,B.plus.mid.OC,B.minus.mid.OC,A.plus.pre.TC,A.minus.pre.TC,B.plus.pre.TC,B.minus.pre.TC,A.plus.mid.TC,A.minus.mid.TC,B.plus.mid.TC,B.minus.mid.TC,A.plus.mid.TC,A.minus.mid.TC,B.plus.mid.TC,B.minus.mid.TC
34,50,50,50,50,50,50,50,50,60,40,50,50,50,50,50,50,50,50,50,50,40,60,50,50,50,50,50,50,100,0,0,100,60,40,40,60,50,50,50,50,100,0,50,50,100,0,66,33
35,50,50,50,50,80,20,80,20,90,10,90,10,50,50,50,50,60,40,60,40,0,100,40,60,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,0,100,100,0,66,33
36,100,50,50,50,50,50,50,50,100,0,0,100,50,100,50,100,50,50,50,50,0,100,100,0,100,50,100,50,100,0,0,100,100,0,0,100,50,100,100,100,100,0,50,50,100,0,66,33
37,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
38,50,50,50,50,50,0,50,0,100,0,50,0,25,25,25,25,50,0,50,0,25,50,50,0,50,50,50,50,100,0,0,100,100,50,0,50,25,25,25,25,0,0,50,0,25,25,50,0
39,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
40,50,50,50,50,50,50,50,50,100,0,0,0,50,50,50,50,0,0,0,0,0,100,0,0,50,50,50,50,100,50,50,100,100,0,0,100,50,50,50,50,100,50,50,50,100,0,100,100
41,100,50,100,50,75,25,75,25,100,0,25,75,25,50,25,50,75,25,75,25,0,100,75,25,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
42,100,50,100,50,50,33,50,33,50,50,50,50,50,0,50,0,25,100,75,100,0,100,100,0,100,50,100,50,75,50,33,50,100,0,17,100,50,0,50,0,100,0,50,75,100,0,67,33
43,50,50,50,50,70,30,70,30,84,16,70,30,50,50,50,50,60,40,60,40,60,80,75,25,50,50,50,50,75,25,25,75,90,10,25,75,50,50,50,50,95,5,50,50,95,5,66,33
44,50,50,50,50,75,25,75,25,100,0,75,25,50,50,50,50,50,0,50,0,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
45,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,75,25,75,25,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
46,50,50,50,50,75,75,75,75,100,0,0,100,50,50,50,50,70,70,70,80,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
47,50,50,50,50,50,30,50,30,80,30,50,70,50,50,50,50,70,30,70,30,50,70,20,30,50,50,50,50,70,30,20,70,70,15,30,70,100,50,100,50,30,70,70,30,35,75,50,25
48,50,50,50,50,33,33,33,33,100,0,50,50,50,50,50,50,33,33,33,33,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,100,0,100,0,67,33
49,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,20,100,100,0,70,30
50,50,50,50,50,60,40,60,40,80,20,20,80,50,50,50,50,60,40,60,40,20,80,80,20,50,50,50,50,80,20,20,80,100,0,10,90,40,60,40,60,100,0,50,50,100,0,70,30
51,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,50,0,50,100,50,50,50,50,50,100,50,0,50,75,50,25
52,50,50,50,50,50,0,50,0,100,0,50,100,50,50,50,50,50,0,50,0,50,100,50,0,50,50,50,50,100,0,0,100,80,0,0,100,100,100,50,50,0,100,100,0,100,100,100,0
53,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
54,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
55,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
56,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
57,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
58,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
59,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
60,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
