ID,BB_A_pre,BB_B_pre,BB_C_pre,BB_D_pre,BB_A_post,BB_B_post,BB_C_post,BB_D_post,IS_A_pre,IS_B_pre,IS_C_pre,IS_D_pre,IS_A_post,IS_B_post,IS_C_post,IS_D_post,OC_A_pre,OC_B_pre,OC_C_pre,OC_D_pre,OC_A_post,OC_B_post,OC_C_post,OC_D_post,TC_A_pre,TC_B_pre,TC_C_pre,TC_D_pre,TC_A_post,TC_B_post,TC_C_post,TC_D_post
45,50,50,50,50,65,40,50,50,50,50,50,50,30,70,50,50,50,50,50,50,70,30,45,60,50,50,50,50,50,50,50,50
46,50,50,50,50,100,0,0,0,50,50,50,50,0,100,0,0,50,50,50,50,100,0,0,0,50,50,50,50,50,50,0,0
47,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,50,50,50
48,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,66,50,50
49,60,30,40,70,100,50,30,30,50,50,50,50,0,100,10,50,50,50,50,50,100,0,50,20,30,70,30,50,100,70,50,50
50,50,50,50,50,100,60,50,50,50,50,50,50,30,90,50,50,50,50,50,50,100,30,50,50,50,50,50,50,90,80,50,50
51,50,50,50,50,100,75,0,0,50,50,50,50,50,100,0,0,50,50,50,50,100,75,0,0,50,50,50,50,100,75,0,0
52,0,0,0,100,100,0,100,0,50,50,50,50,0,100,50,50,33,66,33,66,100,0,100,0,100,30,70,50,100,66,33,100
53,55,50,50,45,75,55,50,50,55,45,55,45,30,70,50,50,55,55,55,55,80,30,50,50,55,50,50,45,90,70,40,40
54,60,50,20,30,90,60,20,30,100,80,20,30,90,90,20,30,80,60,30,40,100,40,20,30,25,70,10,60,100,60,30,50
55,0,0,0,0,100,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,50,0,0
56,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,70,50,50
57,25,25,25,25,75,50,25,25,25,25,25,25,35,50,25,25,25,25,25,25,75,50,25,25,25,25,25,25,75,50,25,25
58,25,25,25,25,100,25,25,25,25,25,25,25,0,100,25,25,25,25,25,25,100,0,25,25,25,25,25,25,100,100,25,25
59,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,66,50,50
60,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,66,50,50
