ID,Age,Major,College,Year,Type of High school,85-211,36-309,21-111,21-112,21-120,21-122,21-256,36-201,15-110,85-426,15-122,15-210,15-251,88-120,15-213,15-150,15-112,85-221,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-
20,0,undecided,dietrich,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,100,100,50,50,100,100,0,0,100,100,0,0,50,100,50,100,0,100,0,100,0,100,0,100
21,0,mechE,cit,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,80,50,80,50,67,50,50,50,60,50,50,50,20,20,50,50,33,33,50,50,50,50,50,50,75,75,50,50,50,75,40,65,45,70,30,70,20,50,20,50,33,50,75,80,20,20,80,80
22,0,undecided,cit,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,50,100,50,50,50,50,50,50,50,50,50,0,0,50,50,30,30,40,40,30,30,40,40,100,100,50,50,50,60,40,50,40,60,30,60,0,100,0,100,0,100,0,0,500,50,20,25
23,0,busines,Tepper,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,50,100,50,75,60,75,60,90,80,80,70,0,0,50,50,50,50,60,60,40,50,50,60,100,100,50,50,50,80,60,25,35,85,20,75,0,100,0,100,50,50,10,90,40,60,10,90
24,1,ECE,CIT,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,50,0,50,0,50,50,50,50,90,75,80,25,50,50,50,50,40,40,60,60,75,25,25,75,100,100,0,0,25,90,0,0,50,90,0,0,25,50,25,50,40,40,90,90,33,66,10,90
25,1,cs/ece,CIT,3,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,100,50,50,25,33,67,3,67,100,0,50,50,67,67,33,33,67,67,33,33,100,0,0,100,50,50,50,50,0,100,100,0,0,100,100,0,50,50,50,50,50,50,0,100,33,67,0,100
26,1,ECE,CIT,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,50,50,50,60,70,30,70,30,100,0,50,50,50,50,50,50,30,30,70,70,100,0,0,100,50,50,50,50,0,100,100,0,0,100,100,0,50,50,50,50,50,50,0,100,33,67,0,100
27,0,mechE,CIT,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,40,25,10,75,60,30,30,60,50,40,10,20,30,60,60,10,15,70,80,90,20,15,80,70,60,40,30,60,40,30,40,15,80,90,60,0,95,0,90,50,70,30,80,20,90,15,90
28,0,design,CFA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,40,50,40,50,40,50,30,50,40,50,30,50,50,70,70,40,40,70,70,30,30,70,70,90,90,50,50,70,70,40,40,80,80,40,40,10,80,20,100,20,70,30,80,40,80,30,80
29,0,cog science,dietrich,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,100,50,100,50,50,50,50,50,75,25,60,40,50,50,60,60,50,50,50,50,60,50,50,60,100,100,50,50,25,20,15,25,25,50,25,40,0,95,0,95,0,95,0,95,25,40,80,80
