"","ID","condition_names","phase","objects","event_type","measure"
"53.28",53,"1C","Pre","B","Minus",50
"53.37",53,"2C","Pre","A","Plus",50
"53.38",53,"2C","Pre","A","Minus",50
"53.39",53,"2C","Pre","B","Plus",50
"53.40",53,"2C","Pre","B","Minus",50
"54.1",54,"BB","Pre","A","Plus",50
"54.2",54,"BB","Pre","A","Minus",50
"54.3",54,"BB","Pre","B","Plus",50
"54.4",54,"BB","Pre","B","Minus",50
"54.13",54,"IS","Pre","A","Plus",50
"54.14",54,"IS","Pre","A","Minus",50
"54.15",54,"IS","Pre","B","Plus",50
"54.16",54,"IS","Pre","B","Minus",50
"54.25",54,"1C","Pre","A","Plus",50
"54.26",54,"1C","Pre","A","Minus",50
"54.27",54,"1C","Pre","B","Plus",50
"54.28",54,"1C","Pre","B","Minus",50
"54.37",54,"2C","Pre","A","Plus",50
"54.38",54,"2C","Pre","A","Minus",50
"54.39",54,"2C","Pre","B","Plus",50
"54.40",54,"2C","Pre","B","Minus",50
"55.1",55,"BB","Pre","A","Plus",50
"55.2",55,"BB","Pre","A","Minus",50
"55.3",55,"BB","Pre","B","Plus",50
"55.4",55,"BB","Pre","B","Minus",50
"55.13",55,"IS","Pre","A","Plus",50
"55.14",55,"IS","Pre","A","Minus",50
"55.15",55,"IS","Pre","B","Plus",50
"55.16",55,"IS","Pre","B","Minus",50
"55.25",55,"1C","Pre","A","Plus",50
"55.26",55,"1C","Pre","A","Minus",50
"55.27",55,"1C","Pre","B","Plus",50
"55.28",55,"1C","Pre","B","Minus",50
"55.37",55,"2C","Pre","A","Plus",50
"55.38",55,"2C","Pre","A","Minus",50
"55.39",55,"2C","Pre","B","Plus",50
"55.40",55,"2C","Pre","B","Minus",50
"56.1",56,"BB","Pre","A","Plus",50
"56.2",56,"BB","Pre","A","Minus",50
"56.3",56,"BB","Pre","B","Plus",50
"56.4",56,"BB","Pre","B","Minus",50
"56.13",56,"IS","Pre","A","Plus",50
"56.14",56,"IS","Pre","A","Minus",50
"56.15",56,"IS","Pre","B","Plus",50
"56.16",56,"IS","Pre","B","Minus",50
"56.25",56,"1C","Pre","A","Plus",50
"56.26",56,"1C","Pre","A","Minus",50
"56.27",56,"1C","Pre","B","Plus",50
"56.28",56,"1C","Pre","B","Minus",50
"56.37",56,"2C","Pre","A","Plus",50
"56.38",56,"2C","Pre","A","Minus",50
"56.39",56,"2C","Pre","B","Plus",50
"56.40",56,"2C","Pre","B","Minus",50
"57.1",57,"BB","Pre","A","Plus",50
"57.2",57,"BB","Pre","A","Minus",50
"57.3",57,"BB","Pre","B","Plus",50
"57.4",57,"BB","Pre","B","Minus",50
"57.13",57,"IS","Pre","A","Plus",50
"57.14",57,"IS","Pre","A","Minus",50
"57.15",57,"IS","Pre","B","Plus",50
"57.16",57,"IS","Pre","B","Minus",50
"57.25",57,"1C","Pre","A","Plus",50
"57.26",57,"1C","Pre","A","Minus",50
"57.27",57,"1C","Pre","B","Plus",50
"57.28",57,"1C","Pre","B","Minus",50
"57.37",57,"2C","Pre","A","Plus",50
"57.38",57,"2C","Pre","A","Minus",50
"57.39",57,"2C","Pre","B","Plus",50
"57.40",57,"2C","Pre","B","Minus",50
"58.1",58,"BB","Pre","A","Plus",50
"58.2",58,"BB","Pre","A","Minus",50
"58.3",58,"BB","Pre","B","Plus",50
"58.4",58,"BB","Pre","B","Minus",50
"58.13",58,"IS","Pre","A","Plus",50
"58.14",58,"IS","Pre","A","Minus",50
"58.15",58,"IS","Pre","B","Plus",50
"58.16",58,"IS","Pre","B","Minus",50
"58.25",58,"1C","Pre","A","Plus",50
"58.26",58,"1C","Pre","A","Minus",50
"58.27",58,"1C","Pre","B","Plus",50
"58.28",58,"1C","Pre","B","Minus",50
"58.37",58,"2C","Pre","A","Plus",50
"58.38",58,"2C","Pre","A","Minus",50
"58.39",58,"2C","Pre","B","Plus",50
"58.40",58,"2C","Pre","B","Minus",50
"59.1",59,"BB","Pre","A","Plus",50
"59.2",59,"BB","Pre","A","Minus",50
"59.3",59,"BB","Pre","B","Plus",50
"59.4",59,"BB","Pre","B","Minus",50
"59.13",59,"IS","Pre","A","Plus",50
"59.14",59,"IS","Pre","A","Minus",50
"59.15",59,"IS","Pre","B","Plus",50
"59.16",59,"IS","Pre","B","Minus",50
"59.25",59,"1C","Pre","A","Plus",50
"59.26",59,"1C","Pre","A","Minus",50
"59.27",59,"1C","Pre","B","Plus",50
"59.28",59,"1C","Pre","B","Minus",50
"59.37",59,"2C","Pre","A","Plus",50
"59.38",59,"2C","Pre","A","Minus",50
"59.39",59,"2C","Pre","B","Plus",50
"59.40",59,"2C","Pre","B","Minus",50
"60.1",60,"BB","Pre","A","Plus",50
"60.2",60,"BB","Pre","A","Minus",50
"60.3",60,"BB","Pre","B","Plus",50
"60.4",60,"BB","Pre","B","Minus",50
"60.13",60,"IS","Pre","A","Plus",50
"60.14",60,"IS","Pre","A","Minus",50
"60.15",60,"IS","Pre","B","Plus",50
"60.16",60,"IS","Pre","B","Minus",50
"60.25",60,"1C","Pre","A","Plus",50
"60.26",60,"1C","Pre","A","Minus",50
"60.27",60,"1C","Pre","B","Plus",50
"60.28",60,"1C","Pre","B","Minus",50
"60.37",60,"2C","Pre","A","Plus",50
"60.38",60,"2C","Pre","A","Minus",50
"60.39",60,"2C","Pre","B","Plus",50
"60.40",60,"2C","Pre","B","Minus",50
